Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,Subject,Filename
5,5,308,3,305,61.6,0.97,99.03,00:01:05.000,00:00:01.000,00:01:04.000,00:00:00.330,00:00:00.210,100.0,4,4,100.0,308,137,171,44.48,s7,RQ4_webgazer_rpm_postprocessed.csv
6,6,51,1,50,8.5,1.96,98.04,00:00:17.000,00:00:00.000,00:00:17.000,00:00:00.000,00:00:00.340,100.0,0,0,0.0,0,0,0,0.0,s8,RQ1_tobii_form_density_high_postprocessed.csv
6,6,51,46,5,8.5,90.2,9.8,00:00:17.000,00:00:15.000,00:00:02.000,00:00:00.330,00:00:00.400,100.0,0,0,0.0,0,0,0,0.0,s8,RQ1_tobii_form_density_low_postprocessed.csv
17,17,381,37,344,22.41,9.71,90.29,00:01:26.000,00:00:09.000,00:01:17.000,00:00:00.240,00:00:00.220,100.0,0,0,0.0,0,0,0,0.0,s8,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,109,41,68,18.17,37.61,62.39,00:00:23.000,00:00:07.000,00:00:16.000,00:00:00.170,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,s8,RQ1_webgazer_form_density_low_postprocessed.csv
18,17,49,22,27,2.72,44.9,55.1,00:00:15.000,00:00:08.000,00:00:07.000,00:00:00.360,00:00:00.260,94.44,0,0,0.0,0,0,0,0.0,s8,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,51,9,42,2.68,17.65,82.35,00:00:21.000,00:00:03.000,00:00:18.000,00:00:00.330,00:00:00.360,100.0,0,0,0.0,0,0,0,0.0,s8,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,11,8,3,2.2,72.73,27.27,00:00:15.000,00:00:12.000,00:00:03.000,00:00:01.500,00:00:00.670,100.0,0,0,0.0,0,0,0,0.0,s8,RQ3_tobii_position_50cm_postprocessed.csv
5,5,15,8,7,3.0,53.33,46.67,00:00:09.000,00:00:05.000,00:00:04.000,00:00:00.620,00:00:00.430,100.0,0,0,0.0,0,0,0,0.0,s8,RQ3_tobii_position_70cm_postprocessed.csv
5,4,13,8,5,2.6,61.54,38.46,00:00:11.000,00:00:05.000,00:00:06.000,00:00:00.620,00:00:00.200,80.0,0,0,0.0,0,0,0,0.0,s8,RQ3_tobii_position_90cm_postprocessed.csv
5,5,85,3,82,17.0,3.53,96.47,00:00:23.000,00:00:00.000,00:00:23.000,00:00:00.000,00:00:00.280,100.0,0,0,0.0,0,0,0,0.0,s8,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,159,0,159,31.8,0.0,100.0,00:00:37.000,00:00:00.000,00:00:37.000,00:00:00.000,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,s8,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,103,5,98,20.6,4.85,95.15,00:00:25.000,00:00:01.000,00:00:24.000,00:00:00.200,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,s8,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,40,18,22,8.0,45.0,55.0,00:00:26.000,00:00:15.000,00:00:11.000,00:00:00.830,00:00:00.360,100.0,4,4,100.0,40,39,1,97.5,s8,RQ4_tobii_rpm_postprocessed.csv
5,5,175,11,164,35.0,6.29,93.71,00:00:39.000,00:00:02.000,00:00:37.000,00:00:00.180,00:00:00.220,100.0,4,3,75.0,175,81,94,46.29,s8,RQ4_webgazer_rpm_postprocessed.csv
15,15,103,87,16,6.87,84.47,15.53,00:00:50.000,00:00:39.000,00:00:11.000,00:00:00.450,00:00:00.560,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_tobii_form_density_high_postprocessed.csv
6,6,48,46,2,8.0,95.83,4.17,00:00:19.000,00:00:18.000,00:00:01.000,00:00:00.390,00:00:00.000,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_tobii_form_density_low_postprocessed.csv
15,15,351,133,218,23.4,37.89,62.11,00:01:16.000,00:00:26.000,00:00:50.000,00:00:00.200,00:00:00.220,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,108,41,67,18.0,37.96,62.04,00:00:30.000,00:00:08.000,00:00:22.000,00:00:00.200,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,s9,RQ1_webgazer_form_density_low_postprocessed.csv
18,16,37,27,10,2.06,72.97,27.03,00:00:14.000,00:00:10.000,00:00:04.000,00:00:00.370,00:00:00.000,88.89,0,0,0.0,0,0,0,0.0,s9,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,108,53,55,5.68,49.07,50.93,00:00:32.000,00:00:14.000,00:00:18.000,00:00:00.260,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,s9,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,19,18,1,3.8,94.74,5.26,00:00:18.000,00:00:16.000,00:00:02.000,00:00:00.890,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_50cm_postprocessed.csv
5,5,17,16,1,3.4,94.12,5.88,00:00:16.000,00:00:14.000,00:00:02.000,00:00:00.880,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_70cm_postprocessed.csv
5,4,7,2,5,1.4,28.57,71.43,00:00:14.000,00:00:03.000,00:00:11.000,00:00:01.500,00:00:01.800,80.0,0,0,0.0,0,0,0,0.0,s9,RQ3_tobii_position_90cm_postprocessed.csv
5,5,59,33,26,11.8,55.93,44.07,00:00:23.000,00:00:12.000,00:00:11.000,00:00:00.360,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,101,44,57,20.2,43.56,56.44,00:00:24.000,00:00:09.000,00:00:15.000,00:00:00.200,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,73,19,54,14.6,26.03,73.97,00:00:16.000,00:00:05.000,00:00:11.000,00:00:00.260,00:00:00.200,100.0,0,0,0.0,0,0,0,0.0,s9,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,55,14,41,11.0,25.45,74.55,00:00:34.000,00:00:17.000,00:00:17.000,00:00:01.210,00:00:00.320,100.0,4,4,100.0,55,54,1,98.18,s9,RQ4_tobii_rpm_postprocessed.csv
5,5,169,28,141,33.8,16.57,83.43,00:00:43.000,00:00:05.000,00:00:38.000,00:00:00.180,00:00:00.260,100.0,4,4,100.0,169,70,99,41.42,s9,RQ4_webgazer_rpm_postprocessed.csv
