Device/Software,TC,% MF,MED (px),% EIF,% EITOF,% MTOF
Infrared/Tobii,TC1,85.41,18.15,,,
Infrared/Tobii,TC2,90.61,4.01,,,
Infrared/Tobii,TC3,65.61,9.96,95.36,,
Infrared/Tobii,TC4,79.73,13.07,100.0,,
Infrared/Tobii,TC5,77.15,12.34,95.0,,
Infrared/Tobii,TC6,21.14,35.62,45.71,,
Infrared/Tobii,TC7,,,,93.75,96.08
Webcam/Webgazer.js,TC1,32.27,53.56,,,
Webcam/Webgazer.js,TC2,37.1,17.96,,,
Webcam/Webgazer.js,TC3,33.35,31.62,99.3,,
Webcam/Webgazer.js,TC4,42.31,31.81,100.0,,
Webcam/Webgazer.js,TC5,41.66,32.47,100.0,,
Webcam/Webgazer.js,TC6,38.2,38.96,100.0,,
Webcam/Webgazer.js,TC7,,,,71.88,61.61
