Device/Software (TC Scenario),% Matching Fixation,Device/Software,% EIF,Device/Software (Distance),% MF,% EITOF,% MTOF
Infrared/Tobii (TC1),85.41125,,,,,,
Infrared/Tobii (TC2),76.4375,,,,,,
Webcam/Webgazer.js (TC1),44.47625,,,,,,
Webcam/Webgazer.js (TC2),26.397142857142857,,,,,,
,65.60571428571428,Infrared/Tobii,,,,,
,33.85625,Webcam/Webgazer.js,,,,,
,,Infrared/Tobii,95.36285714285714,,,,
,,Webcam/Webgazer.js,99.305,,,,
,,,100.0,Infrared/Tobii (50cm),,,
,,,95.0,Infrared/Tobii (70cm),,,
,,,45.714285714285715,Infrared/Tobii (90cm),,,
,,,100.0,Webcam/Webgazer.js (50cm),,,
,,,100.0,Webcam/Webgazer.js (70cm),,,
,,,100.0,Webcam/Webgazer.js (90cm),,,
,,,,Infrared/Tobii (50cm),79.73124999999999,,
,,,,Infrared/Tobii (70cm),77.15,,
,,,,Infrared/Tobii (90cm),21.142857142857142,,
,,,,Webcam/Webgazer.js (50cm),38.81125,,
,,,,Webcam/Webgazer.js (70cm),44.006249999999994,,
,,,,Webcam/Webgazer.js (90cm),29.196249999999996,,
,,Infrared/Tobii,,,,93.75,
,,Webcam/Webgazer.js,,,,81.25,
,,Infrared/Tobii,,,,,96.07875
,,Webcam/Webgazer.js,,,,,66.92750000000001
