Device/Software,TC,% MF,MED (px),% EIF,% EITOF,% MTOF
Infrared/Tobii,TC1,85.41125,18.14625,,,
Infrared/Tobii,TC2,90.6075,4.00625,,,
Infrared/Tobii,TC3,65.60571428571428,9.961428571428572,95.36285714285714,,
Infrared/Tobii,TC4,79.73124999999999,13.065000000000001,100.0,,
Infrared/Tobii,TC5,77.15,12.342500000000001,95.0,,
Infrared/Tobii,TC6,21.142857142857142,35.62285714285714,45.714285714285715,,
Infrared/Tobii,TC7,,,,93.75,96.07875
Webcam/Webgazer.js,TC1,32.2675,53.56375,,,
Webcam/Webgazer.js,TC2,37.09571428571429,17.958571428571428,,,
Webcam/Webgazer.js,TC3,33.35124999999999,31.621250000000003,99.305,,
Webcam/Webgazer.js,TC4,42.3125,31.81125,100.0,,
Webcam/Webgazer.js,TC5,41.6575,32.47125,100.0,,
Webcam/Webgazer.js,TC6,38.195,38.956250000000004,100.0,,
Webcam/Webgazer.js,TC7,,,,71.875,61.613749999999996
