Device/Software (TC Scenario),% Matching Fixation,Device/Software,% EIF,Device/Software (Distance),% MF,% EITOF,% MTOF
Infrared/Tobii (TC1),85.41125,,,,,,
Infrared/Tobii (TC2),76.4375,,,,,,
Webcam/Webgazer.js (TC1),44.47625,,,,,,
Webcam/Webgazer.js (TC2),26.397142857142857,,,,,,
,65.60571428571428,Infrared/Tobii,,,,,
,33.85625,Webcam/Webgazer.js,,,,,
,,Infrared/Tobii,95.36285714285714,,,,
,,Webcam/Webgazer.js,99.305,,,,
,,,100.0,Infrared/Tobii (50cm),,,
,,,95.0,Infrared/Tobii (70cm),,,
,,,45.714285714285715,Infrared/Tobii (90cm),,,
,,,100.0,Webcam/Webgazer.js (50cm),,,
,,,100.0,Webcam/Webgazer.js (70cm),,,
,,,100.0,Webcam/Webgazer.js (90cm),,,
,,,,Infrared/Tobii (50cm),79.73124999999999,,
,,,,Infrared/Tobii (70cm),75.24000000000001,,
,,,,Infrared/Tobii (90cm),21.142857142857142,,
,,,,Webcam/Webgazer.js (50cm),37.583749999999995,,
,,,,Webcam/Webgazer.js (70cm),41.498749999999994,,
,,,,Webcam/Webgazer.js (90cm),28.709999999999997,,
,,Infrared/Tobii,,,,93.75,
,,Webcam/Webgazer.js,,,,81.25,
,,Infrared/Tobii,,,,,96.07875
,,Webcam/Webgazer.js,,,,,64.22
