Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,Subject,Filename
14,14,112,68,44,8.0,60.71,39.29,00:01:11.000,00:00:39.000,00:00:32.000,00:00:00.570,00:00:00.590,100.0,0,0,0.0,0,0,0,0.0,s1,RQ1_tobii_form_density_high_postprocessed.csv
6,6,40,30,10,6.67,75.0,25.0,00:00:26.000,00:00:22.000,00:00:04.000,00:00:00.730,00:00:00.400,100.0,0,0,0.0,0,0,0,0.0,s1,RQ1_tobii_form_density_low_postprocessed.csv
15,15,302,49,253,20.13,16.23,83.77,00:01:42.000,00:00:20.000,00:01:22.000,00:00:00.410,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,s1,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,119,49,70,19.83,41.18,58.82,00:00:35.000,00:00:13.000,00:00:22.000,00:00:00.270,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,s1,RQ1_webgazer_form_density_low_postprocessed.csv
20,16,34,29,5,1.7,85.29,14.71,00:00:36.000,00:00:26.000,00:00:10.000,00:00:00.900,00:00:00.000,80.0,0,0,0.0,0,0,0,0.0,s1,RQ2_tobii_alternance_buttons_postprocessed.csv
20,20,111,42,69,5.55,37.84,62.16,00:00:49.000,00:00:17.000,00:00:32.000,00:00:00.400,00:00:00.390,100.0,0,0,0.0,0,0,0,0.0,s1,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,15,13,2,3.0,86.67,13.33,00:00:19.000,00:00:14.000,00:00:05.000,00:00:01.080,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,s1,RQ3_tobii_position_50cm_postprocessed.csv
5,5,49,44,5,9.8,89.8,10.2,00:00:24.000,00:00:23.000,00:00:01.000,00:00:00.520,00:00:00.200,100.0,0,0,0.0,0,0,0,0.0,s1,RQ3_tobii_position_70cm_postprocessed.csv
5,3,7,1,6,1.4,14.29,85.71,00:00:22.000,00:00:01.000,00:00:21.000,00:00:01.000,00:00:02.170,60.0,0,0,0.0,0,0,0,0.0,s1,RQ3_tobii_position_90cm_postprocessed.csv
5,5,114,5,109,22.8,4.39,95.61,00:00:30.000,00:00:01.000,00:00:29.000,00:00:00.200,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,s1,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,76,55,21,15.2,72.37,27.63,00:00:22.000,00:00:17.000,00:00:05.000,00:00:00.310,00:00:00.190,100.0,0,0,0.0,0,0,0,0.0,s1,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,57,17,40,11.4,29.82,70.18,00:00:20.000,00:00:04.000,00:00:16.000,00:00:00.240,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,s1,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,78,31,47,15.6,39.74,60.26,00:00:42.000,00:00:23.000,00:00:19.000,00:00:00.740,00:00:00.380,100.0,4,4,100.0,78,77,1,98.72,s1,RQ4_tobii_rpm_postprocessed.csv
5,5,209,47,162,41.8,22.49,77.51,00:00:47.000,00:00:07.000,00:00:40.000,00:00:00.150,00:00:00.250,100.0,4,4,100.0,209,142,67,67.94,s1,RQ4_webgazer_rpm_postprocessed.csv
