Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,AvgDistanceErrorPx,Subject,Filename
15,14,106,94,12,7.07,88.68,11.32,00:00:51.000,00:00:42.000,00:00:09.000,00:00:00.450,00:00:00.420,93.33,0,0,0.0,0,0,0,0.0,3.81,s4,RQ1_tobii_form_density_high_postprocessed.csv
6,6,45,33,12,7.5,73.33,26.67,00:00:17.000,00:00:13.000,00:00:04.000,00:00:00.390,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,26.48,s4,RQ1_tobii_form_density_low_postprocessed.csv
15,15,194,52,142,12.93,26.8,73.2,00:00:52.000,00:00:10.000,00:00:42.000,00:00:00.190,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,20.86,s4,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,51,2,49,8.5,3.92,96.08,00:00:18.000,00:00:01.000,00:00:17.000,00:00:00.500,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,71.77,s4,RQ1_webgazer_form_density_low_postprocessed.csv
19,18,39,27,12,2.05,69.23,30.77,00:00:18.000,00:00:11.000,00:00:07.000,00:00:00.410,00:00:00.420,94.74,0,0,0.0,0,0,0,0.0,8.6,s4,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,77,24,53,4.05,31.17,68.83,00:00:25.000,00:00:10.000,00:00:15.000,00:00:00.420,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,31.04,s4,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,26,18,8,5.2,69.23,30.77,00:00:15.000,00:00:11.000,00:00:04.000,00:00:00.610,00:00:00.500,100.0,0,0,0.0,0,0,0,0.0,31.67,s4,RQ3_tobii_position_50cm_postprocessed.csv
5,3,21,12,9,4.2,57.14,42.86,00:00:19.000,00:00:05.000,00:00:14.000,00:00:00.420,00:00:00.670,60.0,0,0,0.0,0,0,0,0.0,35.91,s4,RQ3_tobii_position_70cm_postprocessed.csv
5,1,0,0,0,0.0,0.0,0.0,00:00:19.000,00:00:00.000,00:00:19.000,00:00:00.000,00:00:00.000,20.0,0,0,0.0,0,0,0,0.0,0.0,s4,RQ3_tobii_position_90cm_postprocessed.csv
5,5,60,11,49,12.0,18.33,81.67,00:00:18.000,00:00:00.000,00:00:18.000,00:00:00.000,00:00:00.370,100.0,0,0,0.0,0,0,0,0.0,50.12,s4,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,56,26,30,11.2,46.43,53.57,00:00:16.000,00:00:10.000,00:00:06.000,00:00:00.380,00:00:00.200,100.0,0,0,0.0,0,0,0,0.0,26.88,s4,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,94,3,91,18.8,3.19,96.81,00:00:23.000,00:00:01.000,00:00:22.000,00:00:00.330,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,90.18,s4,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,63,27,36,12.6,42.86,57.14,00:00:36.000,00:00:19.000,00:00:17.000,00:00:00.700,00:00:00.470,100.0,4,4,100.0,63,60,3,95.24,74.72,s4,RQ4_tobii_rpm_postprocessed.csv
5,5,169,51,118,33.8,30.18,69.82,00:00:43.000,00:00:12.000,00:00:31.000,00:00:00.240,00:00:00.250,100.0,4,4,100.0,169,129,40,76.33,76.07,s4,RQ4_webgazer_rpm_postprocessed.csv
